title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
295 1,6.6,3.81,729,11.35,388.75,20.18,9.39,18687.2,274,29946.9424595087,3023.0757998162
295 10,9.5,4.92,3878,10.97,124.56,20.18,9.33,13577.8,224,16708.0554682841,11207.8347776663
295 11,6.4,4.32,114,0,0,18.26,10.12,4205.4,59,959.696288924722,586.298670616292
295 12,7.5,4.24,351,20.56,400,22.55,13.99,23811.9,261,22911.2827975292,0
295 2,7.4,3.17,395,17.68,37.25,22.55,14.32,17861.9,239,9589.73827325359,113.811381235704
295 3,7,5.19,4776,22.18,289.75,22.91,9.91,18217.2,231,15975.0223652207,9209.70680313152
295 4,14.7,5.02,3184,15.15,349.69,22.02,12.77,18298.9,241,13617.3292979005,13785.9371240899
295 5,9.7,3.48,5266,9.59,0.19,21.29,13.41,20464.7,201,19046.2321077112,0
295 6,2.6,2.2,20,13.19,252.31,18.3,9.53,21985.6,346,28917.3019909625,312.722194845439
295 7,14.3,4.73,3502,18.85,330.5,20.95,12.55,12763.9,161,7520.2690729915,0
295 8,14.1,5.26,3176,20.32,399.19,20.32,12.58,21234.3,213,18994.381889946,379.456186352127
295 9,8.6,3.1,1295,0,0,22.04,13.56,17844.5,268,13533.3869955949,4859.94042958403
296 1,10.8,2.6,755,12.41,50,18.25,7.7,13535.4,313,27102.1545752938,2333.31763091997
296 10,1.1,1.1,9,7.55,91.12,17.65,8.63,13643.6,230,4795.44854865241,0
296 12,10.8,10.8,9,2.3,5.12,24.3,10.26,15898.8,357,11692.9690602151,0
296 3,7.2,4.37,1821,13.69,62.62,18.25,7.7,13917.8,298,28992.5719903102,5379.54121205583
296 4,2.7,2.7,25,17.53,397.19,26.61,14.37,30406.3,608,0,0
296 5,3.2,2.95,52,18.08,89.06,27.14,13.2,17689,399,2978.55191600666,0
296 6,4.7,3.32,157,0,0,24.23,7.54,12847.1,311,3740.37960082763,0
296 8,10.8,10.8,9,2.59,6.75,17.62,8.7,19100.5,353,25250.1829843606,0
296 9,3.3,3.3,0,17.91,400,24.3,11.77,25001.6,486,1033.40921987606,0
297 1,10,5.97,893,11.81,158.5,26.61,10.32,10019.1,181,7655.02979387928,0
297 10,3.2,3.2,27,5.94,3,27.14,9.06,6290.3,146,4053.29472636377,0
297 12,9.8,6,348,14.84,335.25,19.48,10.12,19508.1,263,29439.1791021898,1189.29771996591
297 2,10.3,4.84,3110,17.51,325.75,21.61,9.6,15769.5,264,16375.0167841001,9467.74031599982
297 3,3.2,3.2,20,0,0,7.34,4.29,377.1,19,0,0
297 4,3.2,3.2,27,11.38,74.75,20.61,10.28,18004.3,249,9777.39016166977,0
297 5,10.3,5.74,3899,19.48,340.06,19.48,9.15,15708.9,233,16542.7153456848,7220.94177591394
297 6,10,6.96,1201,20.08,167,22.48,10.01,12940.7,171,11780.8559691879,1566.04432971059
297 9,7.3,5.65,522,6.01,17.12,19.48,8.57,20441.1,289,23731.3677069046,419.399458380867
298 1,6.7,4,3588,15.11,68.94,22.52,10.87,6556.8,95,3177.6577437594,6693.95767296039
298 10,6.5,4.09,8385,8.98,0.94,14.39,4.79,2349.5,109,0,22787.368128354
298 11,9.8,4.14,8401,11.47,103.06,21.1,6.9,3540.3,119,343.213446129928,15268.3850910262
298 12,6.4,4.04,7753,14.39,20.19,16.58,4.87,2411.7,104,0,19740.033570936
298 2,6.7,3.76,2917,20.29,400,23.39,11.8,12607,149,10822.4305557163,7319.01742465494
298 3,13.8,4.1,3591,16.58,127.62,16.58,5.84,1767.8,55,0,6921.10735959272
298 4,6.7,4.52,540,0,0,24.21,12.88,10692.8,115,11892.132742967,79.3039659891219
298 5,8.4,4.22,8856,6.53,123.19,18.71,6,2972.3,106,0,21594.7728144476
298 6,5.6,3.86,2516,0,0,16.58,6.41,1659,44,0,6680.66183052432
298 7,8.4,4.21,8694,10.4,157.06,15.41,6.28,3749.9,117,0,24010.3381651817
298 8,7.7,4.13,6672,15.91,269.44,19.04,9.78,9606,191,1902.98348901607,19368.9715710616
298 9,11.1,4.89,9472,0,0,18.71,6.89,1803.8,52,0,21050.8765427447
299 1,6.7,4.01,2593,30.31,364.75,30.31,10.92,15179.1,267,11823.7298446109,8587.56999830911
299 10,7.4,4.94,8136,10.2,117.94,23.17,10.99,8379,152,325.228260090342,9357.88935841041
299 11,7.1,3.98,4573,14.18,209.69,25.25,9.79,6045.2,120,2551.6804674782,11049.1952641076
299 12,9.2,4.01,4874,20.14,42,27.61,10.82,5660.9,123,5005.13717512742,9640.34094231703
299 2,6.3,4.57,1366,23.14,213.12,26.27,14.46,25340.4,295,26525.0368833572,1179.83533596686
299 3,15.1,5.02,3631,26.27,16.19,26.27,14.98,20362.4,225,13205.5303462027,6865.43465599329
299 4,5.4,3.9,258,13.15,391.5,26.98,12.95,24274,335,23457.7443641831,359.152763432547
299 5,7.4,3.82,2865,24.54,271.31,27.61,14.1,17631.3,246,14796.3407811837,2402.57864931486
299 6,7.4,4.64,6556,18.84,156.56,27.09,11.64,7628.1,161,1153.57098475576,11051.7854151714
299 7,9.2,4.24,2554,0,0,30.31,11.49,9978.2,183,8190.10636322881,5903.20523446005
299 8,7.4,4.49,4324,23.17,400,26.98,14.08,17305.8,210,12413.8568617136,4686.95969263329
299 9,9.5,4.31,8121,9.54,143.56,15.76,6.63,3744.7,113,0,21498.6436519413
300 1,7.6,5.43,2549,25.09,321.56,26.59,16.66,19248.7,187,11587.8587190739,1031.51578581583
300 10,7.5,4.24,8219,12.39,146.44,22.76,7.38,4652.8,98,1457.85999999281,22010.4216739848
300 11,7.5,5.25,12187,0,0,20.08,9.24,3775.5,101,0,10111.2537006394
300 12,7.9,4.41,2613,24.67,400,26.59,15.14,16865.5,184,10477.5192194218,6690.05125159579
300 2,10,4.7,4503,22.8,129.94,25.2,12.33,12564.1,176,5178.16956324429,13641.3086696424
300 3,8.7,5.8,7520,19.94,168.94,24,9.57,11382.7,191,5001.62655029213,15344.0021667933
300 4,9.9,5.92,2872,23.52,400,25.09,14.09,18843,221,12097.3891069959,4990.68520467339
300 5,9.5,4.87,2239,24.72,233.56,26.59,15.35,17558.7,188,11912.6038443943,3760.77586663391
300 6,7.5,5.08,1661,15.33,29.06,27.49,15.9,20409.7,208,15712.8184450526,4558.79800721739
300 7,8.7,5.18,3759,22.23,224.31,27.49,11.62,16287,226,10271.9809383296,13476.2450594265
300 8,17,5.18,5900,22.59,355.69,26.27,12.05,16470.2,221,4015.67752035403,14537.441018939
